wealth_state,income_state,var,variable,value
0.08,6.0,C,var_l1,0.642761
0.08,6.0,H_own,var_l1,0.0
0.08,6.0,H_rent,var_l1,1.095495
0.08,6.0,Q,var_l1,0.084596
0.08,6.0,Y,var_l1,6.0
0.08,7.0,C,var_l1,0.7888045
0.08,7.0,H_own,var_l1,0.0
0.08,7.0,H_rent,var_l1,1.343962
0.08,7.0,Q,var_l1,0.085902
0.08,7.0,Y,var_l1,7.0
0.08,8.0,C,var_l1,0.874376
0.08,8.0,H_own,var_l1,0.0
0.08,8.0,H_rent,var_l1,1.4893
0.08,8.0,Q,var_l1,0.08829
0.08,8.0,Y,var_l1,8.0
0.08,9.0,C,var_l1,0.942681
0.08,9.0,H_own,var_l1,0.0
0.08,9.0,H_rent,var_l1,1.605955
0.08,9.0,Q,var_l1,0.089405
0.08,9.0,Y,var_l1,9.0
0.08,10.0,C,var_l1,1.119808
0.08,10.0,H_own,var_l1,0.0
0.08,10.0,H_rent,var_l1,1.908243
0.08,10.0,Q,var_l1,0.080763
0.08,10.0,Y,var_l1,10.0
0.09,6.0,C,var_l1,0.566382
0.09,6.0,H_own,var_l1,0.0
0.09,6.0,H_rent,var_l1,0.964988
0.09,6.0,Q,var_l1,0.092921
0.09,6.0,Y,var_l1,6.0
0.09,7.0,C,var_l1,0.798308
0.09,7.0,H_own,var_l1,0.0
0.09,7.0,H_rent,var_l1,1.35967
0.09,7.0,Q,var_l1,0.093117
0.09,7.0,Y,var_l1,7.0
0.09,8.0,C,var_l1,0.856492
0.09,8.0,H_own,var_l1,0.0
0.09,8.0,H_rent,var_l1,1.460154
0.09,8.0,Q,var_l1,0.092327
0.09,8.0,Y,var_l1,8.0
0.09,9.0,C,var_l1,1.125971
0.09,9.0,H_own,var_l1,0.0
0.09,9.0,H_rent,var_l1,1.944229
0.09,9.0,Q,var_l1,0.093222
0.09,9.0,Y,var_l1,9.0
0.09,10.0,C,var_l1,1.124539
0.09,10.0,H_own,var_l1,0.0
0.09,10.0,H_rent,var_l1,1.915945
0.09,10.0,Q,var_l1,0.095441
0.09,10.0,Y,var_l1,10.0
0.1,6.0,C,var_l1,0.654206
0.1,6.0,H_own,var_l1,0.0
0.1,6.0,H_rent,var_l1,1.114407
0.1,6.0,Q,var_l1,0.108165
0.1,6.0,Y,var_l1,6.0
0.1,7.0,C,var_l1,0.7835555
0.1,7.0,H_own,var_l1,0.0
0.1,7.0,H_rent,var_l1,1.3353435
0.1,7.0,Q,var_l1,0.104017
0.1,7.0,Y,var_l1,7.0
0.1,8.0,C,var_l1,0.881104
