wealth_state,income_state,var,variable,value
0.06,7.0,C,var_l1,0.6670985
0.06,7.0,H_own,var_l1,0.0
0.06,7.0,H_rent,var_l1,1.1369225
0.06,7.0,Q,var_l1,0.0634945
0.06,7.0,Y,var_l1,6.0
0.06,8.0,C,var_l1,0.795727
0.06,8.0,H_own,var_l1,0.0
0.06,8.0,H_rent,var_l1,1.356009
0.06,8.0,Q,var_l1,0.062839
0.06,8.0,Y,var_l1,7.0
0.06,9.0,C,var_l1,0.857379
0.06,9.0,H_own,var_l1,0.0
0.06,9.0,H_rent,var_l1,1.461658
0.06,9.0,Q,var_l1,0.0626705
0.06,9.0,Y,var_l1,8.0
0.06,10.0,C,var_l1,0.945494
0.06,10.0,H_own,var_l1,0.0
0.06,10.0,H_rent,var_l1,1.610722
0.06,10.0,Q,var_l1,0.063998
0.06,10.0,Y,var_l1,9.0
0.07,7.0,C,var_l1,0.693622
0.07,7.0,H_own,var_l1,0.0
0.07,7.0,H_rent,var_l1,1.181751
0.07,7.0,Q,var_l1,0.072523
0.07,7.0,Y,var_l1,6.0
0.07,8.0,C,var_l1,0.795463
0.07,8.0,H_own,var_l1,0.0
0.07,8.0,H_rent,var_l1,1.355509
0.07,8.0,Q,var_l1,0.0740175
0.07,8.0,Y,var_l1,7.0
0.07,9.0,C,var_l1,0.866279
0.07,9.0,H_own,var_l1,0.0
0.07,9.0,H_rent,var_l1,1.47677
0.07,9.0,Q,var_l1,0.0729595
0.07,9.0,Y,var_l1,8.0
0.08,7.0,C,var_l1,0.664207
0.08,7.0,H_own,var_l1,0.0
0.08,7.0,H_rent,var_l1,1.131501
0.08,7.0,Q,var_l1,0.0847825
0.08,7.0,Y,var_l1,6.0
0.08,8.0,C,var_l1,0.801257
0.08,8.0,H_own,var_l1,0.0
0.08,8.0,H_rent,var_l1,1.365151
0.08,8.0,Q,var_l1,0.085735
0.08,8.0,Y,var_l1,7.0
0.08,9.0,C,var_l1,0.8743775
0.08,9.0,H_own,var_l1,0.0
0.08,9.0,H_rent,var_l1,1.4893025
0.08,9.0,Q,var_l1,0.088277
0.08,9.0,Y,var_l1,8.0
0.08,10.0,C,var_l1,0.874376
0.08,10.0,H_own,var_l1,0.0
0.08,10.0,H_rent,var_l1,1.4893
0.08,10.0,Q,var_l1,0.088277
0.08,10.0,Y,var_l1,8.0
0.09,7.0,C,var_l1,0.703311
0.09,7.0,H_own,var_l1,0.0
0.09,7.0,H_rent,var_l1,1.198417
0.09,7.0,Q,var_l1,0.090856
0.09,7.0,Y,var_l1,6.0
0.09,8.0,C,var_l1,0.8024735
0.09,8.0,H_own,var_l1,0.0
0.09,8.0,H_rent,var_l1,1.367316
0.09,8.0,Q,var_l1,0.096176
0.09,8.0,Y,var_l1,7.0
0.09,9.0,C,var_l1,0.856492
0.09,9.0,H_own,var_l1,0.0
0.09,9.0,H_rent,var_l1,1.460154
0.09,9.0,Q,var_l1,0.092327
0.09,9.0,Y,var_l1,8.0
0.1,8.0,C,var_l1,0.7951345
0.1,8.0,H_own,var_l1,0.0
0.1,8.0,H_rent,var_l1,1.3547
0.1,8.0,Q,var_l1,0.100536
0.1,8.0,Y,var_l1,7.0
0.1,9.0,C,var_l1,0.881104
0.1,9.0,H_own,var_l1,0.0
0.1,9.0,H_rent,var_l1,1.502519
0.1,9.0,Q,var_l1,0.103125
0.1,9.0,Y,var_l1,8.0
0.1,10.0,C,var_l1,0.94078
0.1,10.0,H_own,var_l1,0.0
0.1,10.0,H_rent,var_l1,1.602838
0.1,10.0,Q,var_l1,0.100903
0.1,10.0,Y,var_l1,9.0
0.11,8.0,C,var_l1,0.782363
0.11,8.0,H_own,var_l1,0.0
0.11,8.0,H_rent,var_l1,1.333886
0.11,8.0,Q,var_l1,0.119791
0.11,8.0,Y,var_l1,7.0
0.11,9.0,C,var_l1,0.892425
0.11,9.0,H_own,var_l1,0.0
0.11,9.0,H_rent,var_l1,1.520745
0.11,9.0,Q,var_l1,0.1133935
0.11,9.0,Y,var_l1,8.0
0.11,10.0,C,var_l1,0.963657
0.11,10.0,H_own,var_l1,0.0
0.11,10.0,H_rent,var_l1,1.641756
0.11,10.0,Q,var_l1,0.117715
0.11,10.0,Y,var_l1,9.0
0.12,8.0,C,var_l1,0.774073
0.12,8.0,H_own,var_l1,0.0
0.12,8.0,H_rent,var_l1,1.319151
0.12,8.0,Q,var_l1,0.1279105
0.12,8.0,Y,var_l1,7.0
0.12,9.0,C,var_l1,0.849088
0.12,9.0,H_own,var_l1,0.0
0.12,9.0,H_rent,var_l1,1.447258
0.12,9.0,Q,var_l1,0.126064
